"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"444","Gm23881",16.7078865646473,33.4157731292945,0,0,-Inf,5.67124281638305e-05,0.0883012506510841
"1330","Gm22030",16.2802698986681,30.9510335574785,1.60950623985771,0.0520016960619015,-4.26529751151733,0.00129102504012752,1
"1344","mmu-mir-7068",3.93358272115945,0.209136496937983,7.65802894538093,36.6173721827799,5.1944563558505,0.00855387647889219,1
"896","Gm23876",9.21098052648699,16.8124548131163,1.60950623985771,0.0957329704524798,-3.38484031504853,0.0108244953937837,1
"431","mmu-mir-7672",2.31688379630966,0,4.63376759261932,Inf,Inf,0.0147968639135599,1
"253","Gm25040",9.53439880582654,17.0440405057741,2.02475710587894,0.118795605137936,-3.07344663049099,0.0218572607575844,1
"1501","Mir504",5.78896745036878,2.23315387915814,9.34478102157941,4.18456654903791,2.06507819148778,0.030067961799358,1
"1313","Gm22064",4.89113351400061,8.97751390807236,0.804753119928856,0.0896409772426241,-3.4796978129545,0.0335278609445927,1
"1010","Gm24112",9.28645374700492,1.67309197550386,16.899815518506,10.1009482837406,3.33641883539212,0.0476011622272828,1
"1363","Gm22151",2.16225942426899,4.32451884853797,0,0,-Inf,0.0479527599646721,1
