"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"107","AC153944.1",27,1,53,53,5.7279204545632,0.0135892751730311,0.914804585903619
"968","Mir1895",8.5,0,17,Inf,Inf,0.0256881274501157,0.914804585903619
"1112","Mir3965",34.5,66,3,0.0454545454545455,-4.4594316186373,0.0302895989585998,0.914804585903619
"305","Mir1193",34,65,3,0.0461538461538462,-4.4374053123073,0.0308713087954579,0.914804585903619
"285","Mir665",32.5,62,3,0.0483870967741935,-4.36923380966572,0.0327512327817696,0.914804585903619
"1470","Mir503",188.5,356,21,0.0589887640449438,-4.08341600818764,0.0368514710885245,0.914804585903619
"1372","Gm22195",29.5,56,3,0.0535714285714286,-4.22239242133645,0.0372544749438252,0.914804585903619
"1099","Mir701",13.5,26,1,0.0384615384615385,-4.70043971814109,0.0374184735289878,0.914804585903619
"1483","Mir452",13.5,26,1,0.0384615384615385,-4.70043971814109,0.0374184735289878,0.914804585903619
"394","Gm22118",180,23,337,14.6521739130435,3.87304282512485,0.0455564258461327,0.914804585903619
"311","Gm25252",32,60,4,0.0666666666666667,-3.90689059560852,0.0483180850270062,0.914804585903619
"1468","Mir542",122.5,229,16,0.0698689956331878,-3.83920378809694,0.0483544522419349,0.914804585903619
