"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"316","Mir494",350,642,58,0.0903426791277259,-3.46844849199473,0.0121231945313082,1
"131","mmu-mir-7688",15,30,0,0,-Inf,0.015033698896414,1
"332","mmu-mir-668",34.5,66,3,0.0454545454545455,-4.4594316186373,0.0223815043703243,1
"547","Mir484",1559,2810,308,0.109608540925267,-3.18956787441339,0.0229273184145963,1
"674","Mir122a",32.5,62,3,0.0483870967741935,-4.36923380966572,0.0257025635519482,1
"1516","Mir20b",3258,5924,592,0.099932478055368,-3.3229025596599,0.0269878324414155,1
"409","Gm22118",207.5,43,372,8.65116279069767,3.11289405640593,0.0292108734868965,1
"1419","mmu-mir-7079",24.5,47,2,0.0425531914893617,-4.55458885167764,0.0295078623008806,1
"1175","Mir335",450,794,106,0.133501259445844,-2.90507474257976,0.0295531602866083,1
"341","Mir410",381,673,89,0.132243684992571,-2.91872926364392,0.0297365453289509,1
"1033","Mir31",298.5,529,68,0.128544423440454,-2.95966107086369,0.0303354683861468,1
"1518","Mir106a",4159.5,7520,799,0.10625,-3.23446525363702,0.0355138543290917,1
"1522","Mir542",142.5,256,29,0.11328125,-3.14201900487243,0.0359709588179458,1
"1376","Mir28b",317.5,557,78,0.140035906642729,-2.83613129847778,0.0360488241940656,1
"466","Mir17",4457,8066,848,0.105132655591371,-3.24971723584268,0.0363023950592497,1
"1548","Mir224",214,379,49,0.129287598944591,-2.95134419405588,0.0366172341416397,1
"1513","Mir363",16,31,1,0.032258064516129,-4.95419631038687,0.0368414637642396,1
"1198","Gm24816",8,0,16,Inf,Inf,0.0379966621570494,1
"336","Mir377",83.5,152,15,0.0986842105263158,-3.34103691783507,0.038315621470744,1
"266","Gm22904",128,26,230,8.84615384615385,3.14505033280328,0.0384277808143295,1
"80","Mir194-1",1381,2421,341,0.140850888062784,-2.82775943497476,0.039133663189208,1
"692","Mir194-2",1398.5,2451,346,0.141166870665035,-2.82452654123012,0.0394805714931216,1
"335","Mir496",144.5,258,31,0.12015503875969,-3.05703094503638,0.0401340672588559,1
"548","Mir130b",292.5,511,74,0.144814090019569,-2.78772611530867,0.0402156334838571,1
"1491","Mir362",469.5,814,125,0.153562653562654,-2.70310069960416,0.0410714939777917,1
"1366","Gm25992",7.5,0,15,Inf,Inf,0.0411030730776963,1
"294","Mir673",67.5,123,12,0.0975609756097561,-3.35755200461808,0.0422265662402366,1
"313","Mir323",40.5,75,6,0.08,-3.64385618977472,0.0426370002718991,1
"556","Mir28",766.5,1328,205,0.154367469879518,-2.69555933184148,0.0426565807996005,1
"1562","Mir374",1397,2428,366,0.150741350906096,-2.72985286797164,0.0457367335360511,1
"300","Mir431",168.5,297,40,0.134680134680135,-2.8923910259134,0.0460268505384077,1
"338","Gm24321",579,997,161,0.16148445336008,-2.63053281628358,0.046271194396666,1
"883","Mir130a",453,780,126,0.161538461538462,-2.63005039024969,0.0462941234424627,1
"1313","Mir708",2464.5,4330,599,0.138337182448037,-2.8537391168253,0.0465002250942025,1
"318","Mir1193",108.5,194,23,0.118556701030928,-3.07635088613011,0.0465514809535976,1
"973","Mir92b",1051,1815,287,0.158126721763085,-2.66084690620743,0.0475049940490142,1
"1084","Mir34a",544.5,934,155,0.165952890792291,-2.59115433443542,0.049186390045256,1
